SystematicName	Hits
NM_001037675	2
NM_001145718	1
NM_001270941	1
NM_001172412	1
NM_006895	1
NM_203301	1
NM_030770	1
NM_018360	1
NM_001277444	2
NM_006375	1
NM_017429	1
NM_030639	1
NM_005670	1
NM_001661	1
NM_014653	1
NM_001142524	1
NM_014388	1
NM_018110	1
NM_012069	3
NM_001142525	1
NM_030634	2
NM_001171689	1
NM_001142447	3
NM_001142526	1
NM_001077195	2
NM_001142527	1
NM_017893	1
NM_001142528	1
NM_015412	1
NM_018989	1
NM_001203244	1
NM_006379	2
NM_014911	1
NM_018713	1
NM_001142529	1
NM_182612	1
NM_016953	1
NM_001142530	1
NM_001077196	1
NM_003659	1
NM_018292	1
NM_001077197	1
NM_172216	1
NM_001128430	1
NM_002718	1
NM_014939	1
NM_181897	1
NM_001042384	1
NM_001190447	1
NM_020701	1
NM_001203	1
NM_032287	1
NM_152289	1
NM_004736	1
NM_022841	2
NM_001207067	1
NM_001001331	1
NM_001135669	1
NM_198402	2
NM_001199469	1
NM_001683	1
NM_138959	1
NM_013269	1
NM_014967	1
NM_001004419	1
NM_001080541	1
NM_031218	1
NM_014670	1
NM_005756	1
NM_153369	1
NM_001197317	1
NM_001164273	1
NM_001148	1
NM_001079858	1
NM_078628	1
NM_001197318	1
NM_001135575	1
NM_032528	2
NM_001079859	1
NM_001197319	1
NM_006042	1
NM_001142351	2
NM_001079860	1
NM_022144	1
NM_001242957	1
NM_001184833	1
NM_020977	1
NM_152332	1
NM_001037232	1
NM_001184834	1
NM_001128595	1
NM_080866	1
NM_004436	1
NM_022101	1
NM_012424	1
NM_001184835	1
NM_001009612	1
NM_153711	1
NM_015116	1
NM_001128596	1
NM_004080	1
NM_004554	1
NM_001170569	1
NM_001136138	1
NM_001173490	1
NM_018362	1
NM_001184836	1
NM_005261	1
NM_207042	1
NM_001170570	1
NM_017787	1
NM_001184837	1
NM_001098811	1
NM_015497	1
NM_001160306	1
NM_016026	1
NM_001145442	1
NM_148957	1
NM_001164211	1
NM_181702	1
NM_001083913	1
NM_018976	1
NM_001195308	1
NM_145650	1
NM_015221	1
NM_001204458	1
NM_207045	1
NM_001204459	1
NM_207046	1
NM_014864	1
NM_001101663	2
NM_032918	1
NM_021227	1
NM_024592	1
NM_018704	1
NM_012262	1
NM_001190726	1
NM_001193424	1
NM_021623	1
NM_030767	1
NM_001267817	1
NM_013313	1
NM_001127493	1
NM_153840	1
NM_001267818	1
NM_000354	1
NM_001193426	1
NM_001099677	1
NM_020782	1
NM_020834	1
NM_004172	1
NM_004264	1
NM_014660	1
NM_001256944	1
NM_212558	1
NM_033110	1
NM_001071775	1
NM_015473	1
NM_033656	2
NM_001346	1
NM_001271811	1
NM_016607	1
NM_016824	1
NM_001195087	1
NM_016630	1
NM_001080744	1
NM_021201	1
NM_001649	1
NM_001121	1
NM_001013659	1
NM_001039651	1
NM_001080745	1
NM_206938	1
NM_177947	1
NM_019903	1
NM_016542	1
NM_014926	1
NM_206939	1
NM_033107	1
NM_177948	1
NM_001102663	2
NM_001042452	1
NM_206940	1
NM_001042453	1
NM_016200	1
NM_001102657	1
NM_024907	1
NM_183238	1
NM_001004329	1
NM_001164715	1
NM_001242739	1
NM_007038	2
NM_018473	2
NM_001031700	1
NM_006549	1
NM_001160094	2
NM_016613	1
NM_001128424	1
NM_015911	1
NM_139055	1
NM_018351	1
NM_012219	1
NM_001243535	1
NM_145287	1
NM_001085049	1
NM_144682	1
NM_003462	1
NM_001145210	1
NM_001252090	1
NM_173834	1
NM_020698	1
NM_005715	1
NM_015480	2
NM_001243536	1
NM_001252091	1
NM_001195214	1
NM_032833	1
NM_144973	1
NM_001243286	2
NM_182495	1
NM_019014	1
NM_032828	1
NM_001137604	1
NM_001003665	1
NM_014423	2
NM_001204817	1
NM_001177972	1
NM_001304	1
NM_033449	1
NM_001199775	1
NM_144586	1
NM_015349	1
NM_138786	1
NM_030916	1
NM_016089	2
NM_001123329	1
NM_005906	1
NM_016052	1
NM_001077427	1
NM_001184723	1
NM_001146106	1
NM_014336	1
NM_001242385	1
NM_001039905	1
NM_001033054	1
NM_153018	1
NM_003343	1
NM_194282	1
NM_018409	1
NM_021931	1
NM_001033055	1
NM_182688	1
NM_001115007	1
NM_145649	1
NM_006609	1
NM_001190809	1
NM_198514	2
NM_001202489	1
NM_024341	1
NM_001115008	1
NM_001242480	1
NM_006248	1
NM_001190980	1
NM_001044387	1
NM_032811	1
NM_014480	1
NM_001044388	1
NM_198449	1
NM_001001557	1
NM_203298	1
NM_003490	1
NM_181489	2
NM_024835	1
NM_014988	1
NM_004384	1
NM_022058	1
NM_152787	1
NM_001112717	1
NM_001031812	1
NM_001135774	1
NM_005797	1
NM_001256620	1
NM_001112718	1
NM_018284	1
NM_001031740	1
NM_001044723	1
NM_170686	1
NM_003940	1
NM_001112719	1
NM_020781	1
NM_001136022	1
NM_183372	2
NM_001112720	1
NM_014829	1
NM_020344	1
NM_182679	1
NM_024825	1
NM_001135178	1
NM_001193288	1
NM_017938	1
NM_001042705	1
NM_015590	1
NM_001146254	1
NM_001104544	1
NM_001146255	1
NM_001163	1
NM_001185092	1
NM_001104545	1
NM_001197100	1
NM_007190	1
NM_144969	1
NM_020353	1
NM_001146256	1
NM_052879	1
NM_213601	1
NM_001007214	1
NM_199188	1
NM_194247	1
NM_001128306	1
NM_199190	1
NM_020742	1
NM_145799	1
NM_001170803	1
NM_018128	1
NM_001256763	2
NM_001126328	1
NM_003503	1
NM_016623	2
NM_080603	1
NM_001134420	1
NM_014412	1
NM_018970	2
NM_001166695	1
NM_014920	1
NM_198995	1
NM_138423	1
NM_020363	1
NM_001146265	2
NM_001195303	2
NM_001105528	1
NM_177974	1
NM_001005785	1
NM_001254748	2
NM_022484	1
NM_020791	1
NM_001005786	1
NM_001146266	2
NM_000252	1
NM_004804	1
NM_020354	1
NM_001254749	2
NM_025142	1
NM_001146267	2
NM_004491	1
NM_020775	2
NM_031427	1
NM_000637	1
NM_001267048	2
NM_001201366	1
NM_002233	1
NM_002505	1
NM_001170808	1
NM_198159	1
NM_002261	1
NM_001195102	1
NM_001267049	2
NM_005907	1
NM_032822	1
NM_203458	1
NM_021705	1
NM_014612	1
NM_001195103	1
NM_020951	1
NM_001144936	1
NM_198177	1
NM_001195104	1
NM_001145649	1
NM_020848	1
NM_001145650	1
NM_014289	1
NM_001128429	1
NM_020120	1
NM_016422	1
NM_020159	1
NM_181814	1
NM_001031806	1
NM_001198763	1
NM_020729	1
NM_017784	1
NM_000382	1
NM_001198764	1
NM_024808	1
NM_001174060	1
NM_001177693	1
NM_001037582	1
NM_019593	1
NM_012108	1
NM_001033045	1
NM_016467	1
NM_014311	1
NM_001267050	1
NM_001242409	1
NM_001080479	1
NM_152529	1
NM_014656	1
NM_207344	1
NM_020226	1
NM_001267051	1
NM_001162893	1
NM_181795	1
NM_022751	1
NM_002449	1
NM_001099403	1
NM_001162894	1
NM_181794	1
NM_006249	1
NM_001128150	1
NM_015258	1
NM_138286	1
NM_001162895	1
NM_032471	1
NM_172226	1
NM_080867	3
NM_001427	1
NM_001243787	1
NM_017887	1
NM_153698	1
NM_024930	1
NM_145655	1
NM_001270393	1
NM_017934	1
NM_001005851	1
NM_199421	3
NM_017694	1
NM_001104558	1
NM_001491	1
NM_001270394	1
NM_006085	1
NM_001007022	1
NM_001243788	1
NM_018999	1
NM_181789	1
NM_031469	1
NM_002704	1
NM_153184	4
NM_017759	2
NM_001270396	1
NM_001167674	4
NM_012405	1
NM_033026	2
NM_001939	1
NM_018199	1
NM_021163	1
NM_001770	1
NM_001178098	1
NM_001193360	1
NM_001193361	1
NM_001193362	1
NM_001193363	1
NM_152421	1
NM_014910	1
NM_001171109	1
NM_014496	1
NM_001171110	1
NM_001244364	1
NM_001171111	1
NM_024312	1
NM_001080850	1
NM_016563	1
NM_015272	1
NM_001136156	1
NM_152475	1
NM_001256651	1
NM_178151	1
NM_007042	1
NM_001080489	1
NM_001115113	1
NM_014476	1
NM_178152	1
NM_018214	1
NM_025160	1
NM_001040653	1
NM_003423	1
NM_001114107	1
NM_178153	1
NM_001102386	1
NM_030919	1
NM_001256653	1
NM_001257962	1
NM_000555	1
NM_052916	1
NM_001256654	1
NM_004539	1
NM_001257963	1
NM_032858	1
NM_173518	1
NM_014916	1
NM_014797	1
NM_138285	1
NM_001017995	1
NM_173618	1
NM_020340	1
NM_000624	1
NM_004685	1
NM_001177611	1
NM_014409	1
NM_015176	1
NM_145175	2
NM_001177612	1
NM_001136115	1
NM_016955	1
NM_014702	2
NM_025146	1
NM_001638	1
NM_005470	1
NM_152547	1
NM_001012750	1
NM_001077624	1
NM_005849	1
NM_001012751	1
NM_181534	1
NM_139136	1
NM_001012752	1
NM_022894	1
NM_015365	1
NM_139137	1
NM_173607	1
NM_001025580	1
NM_153748	1
NM_006754	1
NM_024783	1
NM_138288	1
NM_001079519	1
NM_001731	1
NM_198513	1
NM_001260497	1
NM_182715	1
NM_173576	1
NM_001260498	1
NM_024639	1
NM_001130445	1
NM_024969	2
NM_207303	1
NM_007147	1
NM_021161	1
NM_001172173	2
NM_001178106	1
NM_030643	1
NM_024585	1
NM_138317	1
NM_001178107	1
NM_133478	1
NM_138318	1
NM_003663	1
NM_001178108	1
NM_001008390	1
NM_007150	1
NM_016523	1
NM_001029880	1
NM_178470	1
NM_004852	2
NM_001178109	1
NM_001256792	1
NM_080475	1
NM_001018039	1
NM_001178015	1
NM_001178110	1
NM_001256793	1
NM_001040445	2
NM_014992	1
NM_003800	1
NM_001178016	1
NM_001256794	1
NM_001104587	1
NM_001270520	1
NM_001002912	1
NM_001104588	1
NM_001199917	1
NM_017779	1
NM_018092	1
NM_198267	1
NM_018044	1
NM_153456	2
NM_001104589	1
NM_001114120	1
NM_001201477	1
NM_148956	1
NM_001114734	1
NM_019589	1
NM_001104590	1
NM_001168347	1
NM_017664	1
NM_024077	1
NM_001042717	1
NM_014863	1
NM_001168348	1
NM_001178113	1
NM_152270	1
NM_198503	1
NM_198581	1
NM_032630	1
NM_020717	1
NM_001270765	1
NM_001164746	1
NM_002076	1
NM_001170820	1
NM_153260	1
NM_001178115	1
NM_004412	1
NM_173539	2
NM_138467	1
NM_020420	1
NM_001009555	1
NM_001178116	1
NM_001162916	1
NM_001005375	1
NM_001128923	1
NM_004504	1
NM_001042416	2
NM_152613	1
NM_001128924	1
NM_015130	1
NM_001135187	1
NM_173505	1
NM_001242797	1
NM_001135188	1
NM_207499	3
NM_001145357	1
NM_001242798	1
NM_012252	1
NM_001135189	1
NM_021925	1
NM_173197	1
NM_001178119	1
NM_138437	1
NM_001159293	1
NM_001242799	1
NM_001018058	1
NM_001004051	1
NM_001145358	1
NM_138282	1
NM_001244583	1
NM_001010846	1
NM_001178120	1
NM_001185072	1
NM_001184874	1
NM_130463	1
NM_173495	1
NM_001178121	1
NM_030625	1
NM_001185073	1
NM_001184875	1
NM_015477	1
NM_001109754	1
NM_001178122	1
NM_001111031	3
NM_005779	2
NM_012129	1
NM_001184876	1
NM_002837	1
NM_001178123	1
NM_003747	1
NM_001206971	1
NM_001178124	1
NM_030937	1
NM_172070	1
NM_003622	1
NM_001206972	1
NM_001178125	1
NM_018373	1
NM_177444	1
NM_001198915	1
NM_006851	2
NM_017539	4
NM_001198916	1
NM_014352	1
NM_022147	1
NM_012278	1
NM_001142577	1
NM_001198681	1
NM_001130031	2
NM_001010880	1
NM_022459	1
NM_001193628	1
NM_001130032	2
NM_016353	1
NM_001142578	1
NM_005542	1
NM_018210	1
NM_005278	1
NM_019073	1
NM_001830	1
NM_005342	1
NM_198336	1
NM_173642	1
NM_001242881	1
NM_001001994	1
NM_173582	2
NM_018841	1
NM_198337	1
NM_017656	2
NM_001242882	1
NM_001142568	1
NM_016396	1
NM_001242883	1
NM_152267	1
NM_001001996	1
NM_020235	1
NM_017526	1
NM_001042690	1
NM_024422	1
NM_005828	1
NM_001276286	1
NM_017637	1
NM_181727	1
NM_001164436	1
NM_004949	1
NM_001135825	1
NM_003028	1
NM_022750	1
NM_016388	1
NM_012455	1
NM_015599	1
NM_018685	1
NM_020960	1
NM_003617	2
NM_001145206	1
NM_001011713	1
NM_003417	1
NM_001136557	1
NM_178499	1
NM_020823	1
NM_003034	1
NM_001134456	1
NM_001136558	1
NM_020364	1
NM_199353	1
NM_181698	1
NM_145037	1
NM_007226	1
NM_145012	1
NM_199354	1
NM_001127889	1
NM_017944	1
NM_001205271	1
NM_005039	1
NM_001127890	1
NM_080876	1
NM_001198965	1
NM_144633	1
NM_023938	1
NM_001142314	1
NM_152272	1
NM_001083924	1
NM_001142395	1
NM_153682	1
NM_001198967	1
NM_018177	1
NM_001243349	1
NM_153681	1
NM_003473	1
NM_006283	1
NM_016255	1
NM_018383	1
NM_182515	1
NM_001122824	1
NM_000092	2
NM_006750	1
NM_001177304	1
NM_024896	2
NM_053002	1
NM_021115	2
NM_032817	1
NM_001184773	2
NM_001184774	2
NM_033544	1
NM_012474	1
NM_001267779	1
NM_001184775	2
NM_005898	1
NM_001017919	1
NM_175861	2
NM_014215	1
NM_001128933	1
NM_002298	1
NM_001042601	1
NM_001001521	1
NM_001184776	2
NM_001193451	2
NM_031908	1
NM_001184777	2
NM_015439	1
NM_022767	1
NM_015257	1
NM_017824	1
NM_001256141	1
NM_020861	1
NM_003692	1
NM_001198972	1
NM_138571	1
NM_006716	1
NM_001130963	1
NM_001205262	1
NM_001198973	1
NM_017412	1
NM_001007075	1
NM_014739	1
NM_015990	1
NM_153499	1
NM_024590	1
NM_145866	1
NM_001077440	1
NM_153500	1
NM_001279	1
NM_001195278	4
NM_001077441	1
NM_001128934	1
NM_014991	1
NM_001171654	1
NM_001144954	1
NM_001159547	1
NM_014836	2
NM_020705	1
NM_032023	1
NM_004227	1
NM_001199107	1
NM_053279	1
NM_003162	1
NM_022470	1
NM_001007246	1
NM_031905	1
NM_152240	1
NM_182620	1
NM_032453	1
NM_001100595	1
NM_001195280	1
NM_001161013	1
NM_014283	1
NM_001161012	1
NM_001161011	1
NM_016227	1
NM_153023	1
NM_001161010	1
NM_024430	2
NM_017831	1
NM_001166271	1
NM_148169	1
NM_001161009	1
NM_001257190	1
NM_182976	1
NM_178335	1
NM_001097611	1
NM_147129	1
NM_001100117	1
NM_174908	1
NM_001695	1
NM_001190707	1
NM_014677	1
NM_000860	1
NM_006658	1
NM_148894	1
NM_015246	1
NM_001146261	1
NM_182775	1
NM_001145123	1
NM_025040	1
NM_030969	1
NM_001146264	1
NM_001145816	1
NM_138794	1
NM_203395	1
NM_001127711	1
NM_001142290	1
NM_001127217	1
NM_001146262	1
NM_175066	1
NM_012161	1
NM_012426	1
NM_001164694	1
NM_005905	1
NM_153262	1
NM_001197026	1
NM_002702	1
NM_001164695	1
NM_005806	1
NM_001193534	1
NM_032639	1
NM_001167929	1
NM_032831	1
NM_001256006	1
NM_002118	1
NM_001193535	1
NM_001241	1
NM_005459	1
NM_058241	1
NM_005897	1
NM_001146216	1
NM_203391	1
NM_001271819	1
NM_017703	2
NM_000167	1
NM_001548	1
NM_139244	1
NM_014631	1
NM_001184938	1
NM_001256301	1
NM_181332	1
NM_001128127	1
NM_001270927	1
NM_006136	1
NM_001127715	1
NM_173552	1
NM_017748	1
NM_003783	1
NM_173566	1
NM_001184939	1
NM_001205019	1
NM_001127897	1
NM_144590	1
NM_177966	1
NM_181780	1
NM_001085357	1
NM_080657	1
NM_018218	1
NM_001256305	1
NM_006930	1
NM_018293	1
NM_032334	2
NM_001256306	1
NM_003364	1
NM_017896	1
NM_024033	1
NM_001256307	1
NM_001098272	1
NM_181597	1
NM_018027	1
NM_001243749	1
NM_018261	1
NM_002130	1
NM_006073	1
NM_178237	1
NM_014790	1
NM_001242359	2
NM_001243751	1
NM_001251987	1
NM_001024924	1
NM_015129	1
NM_139015	1
NM_003575	1
NM_001243752	1
NM_032511	2
NM_001243753	1
NM_016103	1
NM_207335	2
NM_001080526	1
NM_001243754	1
NM_001256946	1
NM_001257097	1
NM_005201	1
NM_001256502	4
NM_001256503	4
NM_001256505	4
NM_003799	1
NM_014472	1
NM_001098844	1
NM_207393	1
NM_001256368	1
NM_207401	1
NM_001242740	1
NM_001256619	1
NM_138469	1
NM_002195	1
NM_032538	1
NM_174897	2
NM_001017924	2
NM_032086	1
NM_001270395	1
NM_001167675	4
NM_020903	1
NM_016217	1
NM_001083535	2
NM_015372	1
NM_181654	1
NM_001260499	1
NM_001009562	1
NM_024670	1
NM_177998	2
NM_001195138	1
NM_001042415	2
NM_214711	1
NM_032406	1
NM_001193425	1
NM_013348	1
NM_000950	1
NM_176810	1
NM_001039517	1
NM_152232	1
NM_138445	1
NM_001104629	4
NM_018302	4
NM_001134470	1
NM_001161808	1
NM_001011719	1
NM_005226	1
NM_001128304	1
NM_001128305	1
NM_001254949	1
NM_001271594	1
NM_001270485	1
NM_001270486	1
NM_003847	1
NM_001271572	1
NM_001271573	1
NM_004334	1
NM_003359	1
NM_001184700	1
NM_001184701	1
NM_001277813	1
NM_152758	1
NM_001277814	1
NM_001277815	1
NM_001277816	1
NM_001277817	1
NM_001277818	1
NM_031892	1
NM_001024666	1
NM_006982	1
NM_183380	1
NM_001144769	1
NM_001184960	1
NM_015548	1
NM_018227	1
NM_139241	1
NM_001144770	1
NM_022121	1
NM_001270660	1
NM_001270661	1
NM_001193552	1
NM_001171979	1
NM_001270573	1
NM_001270572	1
NM_001270574	1
NM_001256648	1
NM_001256649	1
NM_001256650	1
NM_001080419	1
NM_001080409	1
NM_001001481	2
NM_018299	2
NM_001277307	1
NM_001142289	1
NM_001142291	1
NM_001270928	1
NM_001270929	1
NM_001270930	1
NM_001270934	1
NM_145243	1
NM_000817	2
NM_153348	1
NM_002445	1
NM_012174	1
NM_031862	1
NM_005899	1
NM_031858	1
NM_019001	1
NM_001042604	1
NM_021007	1
NM_001040142	1
NM_001040143	1
NM_016507	1
NM_015083	1
NM_015271	1
NM_001130067	1
NM_016513	1
NM_032905	1
NM_001145547	1
NM_001851	1
NM_078485	1
NM_001271862	1
NM_182756	1
NM_001142634	1
NM_021629	2
NM_020973	1
NM_001128432	1
NM_001277225	1
NM_031501	1
NM_001142523	1
NM_007199	1
NM_031993	1
NM_032011	1
NM_000393	1
NM_002508	2
NM_001991	1
NM_021615	1
NM_006840	1
NM_001081442	1
NM_001081443	1
NM_017863	2
NM_004440	1
NM_032802	1
NM_032089	1
NM_032090	2
NM_138694	1
NM_032095	1
NM_032096	1
NM_002850	1
NM_130853	1
NM_000493	1
NM_130854	1
NM_130855	1
NM_207361	1
NM_031883	2
NM_006371	1
NM_005042	1
NM_001110213	1
NM_012137	1
NM_001134445	1
NM_015059	1
NM_031935	1
NM_004744	1
NM_032407	4
NM_016617	1
NM_001031705	2
NM_006551	1
NM_152588	1
NM_022763	2
NM_001135095	2
NM_006552	1
NM_138370	1
NM_003048	1
NM_182644	1
NM_003144	1
NM_148977	3
NM_001195622	1
NM_001278141	2
NM_153692	1
NM_001037501	2
NM_005570	2
NM_001252650	1
NM_000027	1
NM_138316	3
NM_148978	3
NM_001168375	1
NM_014809	1
NM_005802	1
NM_002241	1
NM_001146190	1
NM_178234	2
NM_006765	2
NM_004663	1
NM_001206836	1
NM_004586	1
NM_181552	1
NM_001202543	1
NM_005683	1
NM_021252	2
NM_001256410	2
NM_001256411	2
NM_001256412	2
NM_001256415	2
NM_020116	1
NM_001128427	1
NM_001128428	1
NM_013447	1
NM_001261399	1
NM_001270990	1
NM_001270991	1
NM_006355	1
NM_004263	1
NM_001271052	1
NM_002119	1
NM_016297	1
NM_001032392	1
NM_002665	1
NM_001146339	1
NM_004892	1
NM_003062	1
NM_001271946	1
NM_001012975	1
NM_002723	1
NM_015696	1
NM_001270989	1
NM_001270992	1
NM_001270993	1
NM_001271733	1
NM_001080437	1
NM_001007538	1
NM_025218	1
NM_001007237	1
NM_001542	1
NM_145259	3
NM_014880	1
NM_001111032	3
NM_001111033	3
NM_052888	1
NM_005734	2
NM_001048200	2
NM_001278162	2
NM_001278163	2
NM_030569	1
NM_015154	1
NM_001271661	1
NM_001271662	1
NM_173470	1
NM_007270	1
NM_016299	1
NM_001171933	1
NM_001171934	1
NM_001171935	1
NM_001171936	1
NM_017987	1
NM_001043352	1
NM_001043353	1
NM_014615	1
NM_001134473	1
NM_001278184	1
NM_031497	1
NM_006678	1
NM_003023	1
NM_015306	1
NM_001122681	1
NM_001163150	1
NM_017417	1
NM_001127671	1
NM_001400	1
NM_004956	1
NM_001163147	1
NM_001163148	1
NM_001163149	1
NM_001163151	1
NM_001163152	1
NM_000489	1
NM_138270	1
NM_181078	1
NM_002310	1
NM_021798	1
NM_006282	1
NM_000330	1
NM_174878	1
NM_001195794	1
NM_001145855	1
NM_001145856	1
NM_181079	1
NM_001256819	1
NM_001278267	2
NM_001100631	1
NM_001278297	1
NM_014690	1
NM_001031690	1
NM_015097	1
NM_001207044	1
NM_018407	1
NM_004670	1
NM_001015880	1
NM_002772	1
NM_001006658	1
NM_001877	1
NM_002099	1
NM_014904	1
NM_020438	1
NM_001135917	1
NM_001008781	1
NM_024577	4
NM_002483	1
NM_002270	1
NM_153188	1
NM_001243879	1
NM_000908	2
NM_001204375	2
NM_001204376	2
NM_139068	1
NM_139069	1
NM_024626	1
NM_001253849	1
NM_001253850	1
NM_004796	2
NM_138970	2
NM_001105250	2
NM_001272020	2
NM_001166496	1
NM_007033	1
NM_000529	1
NM_001159542	1
NM_004593	1
NM_003012	1
NM_003051	1
NM_001278458	1
NM_014900	1
NM_001278460	1
NM_001278461	1
NM_004457	1
NM_203372	1
NM_006644	1
NM_138319	1
NM_002570	1
NM_006759	1
NM_003024	1
NM_001040022	1
NM_001040023	1
NM_080792	1
NM_017919	1
NM_014323	1
NM_032050	1
NM_032052	1
NM_003470	1
NM_006827	1
NM_182910	1
NM_182913	1
NM_015180	1
NM_182914	1
NM_014838	1
NM_002564	2
NM_176071	2
NM_176072	2
NM_016014	1
NM_014016	1
NM_144571	1
NM_182597	1
NM_001134468	1
NM_001278403	1
NM_001278404	1
NM_001278405	1
NM_001127612	1
NM_001077700	1
NM_001077701	1
NM_003629	1
NM_001114172	1
NM_001146110	1
NM_001146112	1
NM_001259	1
NM_001048252	2
NM_001127385	2
NM_015578	1
NM_001114093	1
NM_001144822	1
NM_001145306	1
NM_003400	1
NM_001046	1
NM_001127605	1
NM_000235	1
NM_001174150	1
NM_001256373	1
NM_001256374	1
NM_001256375	1
NM_015115	3
NM_001040402	3
NM_032299	1
NM_013256	1
NM_001278508	1
NM_001278509	1
NM_001204172	1
NM_002393	1
NM_001204171	1
NM_001037293	1
NM_133493	1
NM_053016	1
NM_057170	1
NM_020399	1
NM_057169	1
NM_001017408	1
NM_152597	1
NM_177964	1
NM_014776	1
NM_001135213	1
NM_018183	1
NM_001135214	1
NM_001167856	1
NM_006568	1
NM_001129908	1
